"附件",,
"深圳海关进出口商品规范申报目录（2009年第三季度）",,
"商品编码","商品描述","申报要求"
3815190000.0,"其他载体催化剂","品名；具体成分含量；品牌；型号；包装规格；具体用途；外观；"
3824909900.0,"其他税目未列名的化学工业及其相关工业的化学产品及配制品","品名；成分含量；品牌；型号；包装规格；用途；"
3901100000.0,"初级形状比重＜0.94的聚乙烯","品名；外观；品牌；型号；级别；成分含量；单体的种类和比例；技术指标(比重小于0的请注明是否为线型)；用途；英文缩写。（有的必须申报）"
3901100090.0,"初级形状比重＜0.94的聚乙烯","品名；外观；品牌；型号；级别；成分含量；单体的种类和比例；技术指标(比重小于0的请注明是否为线型)；用途；英文缩写。（有的必须申报）"
3901200090.0,"初级形状比重≥0.94的聚乙烯","；品名；外观；品牌；型号；级别；成分含量；单体的种类和比例；技术指标(比重)；用途0；英文缩写。（有的必须申报）"
3901300000.0,"聚乙烯","品名；外观；品牌；型号；级别；成分含量；单体的种类和比例；用途；英文缩写。"
3901902000.0,"线型低密度聚乙烯","品名；外观；品牌；型号；级别；成分含量；单体的种类和比例；技术指标(比重)；用途；英文缩写。（有的必须申报）"
3902100090.0,"其他初级形状的聚丙烯","品名；外观；品牌；型号；级别；成分含量；单体的种类和比例；用途；英文缩写。"
3903309000.0,"其他丙烯腈-丁二烯-苯乙烯共聚物","品名；外观；品牌；型号；级别；成分含量；单体的种类和比例；用途；英文缩写。"
3904220000.0,"已塑化的聚氯乙烯","品名；外观形态；聚氯乙烯请注明是否已塑化；聚氯乙烯请注明是否掺有其他物质；品牌；型号；成分含量；单体的种类和比例；用途；英文缩写。"
3905210000.0,"乙酸乙烯酯共聚物的水分散体","品名；外观；品牌；型号；级别；成分含量；单体的种类和比例；用途；英文缩写。"
3907209000.0,"初级形状的其他聚醚","品名；外观；品牌；型号；级别；成分含量；单体的种类和比例；用途；英文缩写。"
3907400000.0,"初级形状的聚碳酸酯","品名；外观；品牌；型号；级别；成分含量；单体的种类和比例；用途；英文缩写。"
3907999000.0,"初级形状的其他聚酯","品名；外观；品牌；型号；级别；成分含量；单体的种类和比例；用途；英文缩写；0是否饱和。"
3910000000.0,"初级形状的聚硅氧烷","品名；外观；品牌；型号；级别；成分含量；单体的种类和比例；用途；英文缩写。"
3911900090.0,"其他初级形状的多硫化物、聚砜等","品名；外观；品牌；型号；级别；成分含量；单体的种类和比例；用途；英文缩写。"
3915100000.0,"乙烯聚合物的废碎料及下脚料","品名；外观（颜色状态）；来源；成分；进口后用途；是否清洗"
3915200000.0,"苯乙烯聚合物的废碎料及下脚料","品名；外观（颜色状态）；来源；成分；进口后用途；是否清洗"
3915300000.0,"氯乙烯聚合物的废碎料及下脚料","品名；外观（颜色状态）；来源；成分；进口后用途；是否清洗"
3915909000.0,"其他塑料的废碎料及下脚料","品名；外观（颜色状态）；来源；成分；进口后用途；是否清洗；热塑还是热固性塑料"
3920910000.0,"聚乙烯醇缩丁醛非泡沫塑料板、片、膜、箔等","品名；用途；外观（颜色，状态，是否发泡）；与其他材料合制请注明；成分；规格尺寸；品牌；型号"
3920999000.0,"未列名非泡沫塑料板、片、膜、箔及扁条","品名；用途；外观（颜色，状态，是否发泡）；与其他材料合制请注明；成分；规格尺寸；品牌；型号"
3926909090.0,"其他塑料制品","品名；用途；外观；材质；规格尺寸；品牌；型号；0是否印刷图案或文字"
4002190000.0,"丁苯橡胶","品名；外观；来源（天然橡胶；合成橡胶）；是否充油；热塑，或氢化改性；品牌；型号；成分含量，单体的种类和比例;是溶液聚合还是乳液聚合，是否嵌段型；用途；请提供原产地证及证号(无原产地证明请注明)；原产于俄罗斯；日本；韩国的,请提供原厂商发票及厂商名"
7013370000.0,"其他玻璃杯","品名；品牌；材质；型号；用途"
7020001100.0,"导电玻璃","品名；品牌；材质；型号；用途；导电原理，如涂镀报具体成分"
7201100000.0,"非合金生铁","品名；形状（锭；块等）；材质（生铁；镜铁）；成分含量；签约时间"
7202190000.0,"锰铁，按重量计含碳量不超过2%","品名；材质；成份含量；锰铁铬铁请注明碳含量"
7204210000.0,"不锈钢废碎料","品名；用途（供再熔炼钢用）；形状（废碎；切割；压缩成包或板；条状等）；材质（铸铁；合金钢；不锈钢等）；来源（机械加工产生；由破碎何种钢铁制品而得）；汽车压件；废五金电器请注明；钢号（0；0等）；成分含量"
7204410000.0,"机械加工中产生的废料","品名；用途（供再熔炼钢用）；形状（废碎；切割；压缩成包或板；条状等）；材质（铸铁；合金钢；不锈钢等）；来源（机械加工产生；由破碎何种钢铁制品而得）；汽车压件请注明"
7214200000.0,"铁或非合金钢的热加工条、杆","品名；形状；材质；加工方法；状态；成份含量；规格；截面形状"
7214990000.0,"其他普通钢铁热轧、热拉拔或热挤压条、杆","品名；形状（条；杆）；材质（铁；非合金钢）；加工方法（热轧；热拉拔；热挤压）；成分含量（合金元素；非合金元素的含量）；状态（不带有轧制产生的变形或轧制后扭曲的）；规格（条；杆的直径）；截面形状"
7228300000.0,"其他合金钢热轧、热拉拔或热挤压条、杆","品名；用途（履带板型钢；空心钻钢等）；形状（条；杆；角形；型材；异型材）；材质（高速钢；硅锰钢等）；加工方法（热轧；热拉拔；热挤压；冷成形；冷加工）；成分含量（铁；碳；合金元素；非合金元素的含量）；空心钻钢需额外申报最大外形尺寸和最大内孔尺寸"
7304599000.0,"未列名非冷拔或冷轧的合金钢无缝圆形截面管","品名；用途（锅炉用；石油或天然气钻探用等）；形状（管；空心异型材）；材质（铁；非合金刚；不锈钢；合金钢）；加工方法（冷拔；冷轧；热轧等）；种类（无缝管）；规格（管的外径）"
7326901000.0,"工业用钢铁","品名；用途；材质；种类；加工方法；外观；型号"
7404000000.0,"铜废碎料","品名；用途（供回收铜用）；材质（铜）；状态（废；碎；管；板；线；棒；边角料等）；来源（废的电机；电线；电缆；五金等）；成分含量（回收金属的含量）"
7408190000.0,"截面尺寸≤6mm的精炼铜丝","品名；形状(丝)；材质（精炼铜；黄铜；青铜；白铜等）；成分含量（铜及合金元素的含量）；规格（丝的最大截面尺寸）"
7602000090.0,"其他铝废碎料","品名；用途（供回收铝用）；状态（废；碎；板；管；线；边角料等）；来源（废电线；废电缆；废五金电器等）；成分含量（回收金属的含量）；包装形式"
7605110000.0,"铝丝","品名；形状（丝）；材质（非合金铝；铝合金）；成分含量（铝剂合金元素的含量）；规格（丝的最大截面尺寸）；包装（是否成卷装）"
7605190000.0,"铝丝","品名；形状（丝）；材质（非合金铝；铝合金）；成分含量（铝剂合金元素的含量）；规格（丝的最大截面尺寸）；包装（是否成卷装）"
7606122000.0,"铝合金制矩形的薄板、片及带","品名；形状（矩形等）；材质（非合金铝；铝合金）；状态（板；片；带）；成分含量（铝及合金元素的含量）；规格（板的长；宽和厚度）；品牌（中英文）；用途；加工程度（是否经表面处理剂处理方法和所用材料）"
7902000000.0,"锌废碎料","品名；用途（供回收锌用）；状态（废；碎）；来源（精炼锌；锌合金的废碎料）；成分含量（锌的含量）"
8111001000.0,"未锻轧锰；废碎料；粉末","品名；形状；材质；种类；加工方法；状态；成份含量；粉末粒度"
8409999900.0,"8407或8408所列发电机的零件","品名；用途（适用机型）；品牌；型号；转速；发动机类型（压燃式；点燃式）；输出功率"
8411121000.0,"涡轮风扇发动机推力>25千牛顿","品名；品牌；型号；功率"
8411910000.0,"涡轮喷气或涡轮螺桨发动机用零件","品名；品牌；型号；用途；外观结构；具体功能"
8412210000.0,"直线作用的液压动力装置(液压缸)","品名；用途；品牌；原理；型号"
8413709990.0,"其他非农业用离心泵","品名；用途；品牌；原理；型号；转速"
8414809090.0,"其他空气泵、气体压缩机及通风罩","品名；用途；品牌；型号；工作原理"
8414901900.0,"税号84143011至84143014及84143090所列机器除压缩机进、排气阀片的其他零件","品名；用途（适用机型）；适用多少功率机型"
8419500010.0,"热交换器","品名；用途；品牌；型号；原理；是否专用于核反应堆的一次冷却剂回路"
8421999000.0,"8421未列名机器的零件","品名；用途；品牌；型号；材质"
8428909090.0,"其他升降、搬运、装卸机械","品名；用途；品牌；型号；底部是否可移动；输送距离；高度；重量"
8429521200.0,"履带式挖掘机","品名；品牌；行走装置类型（轮胎式；履带式等）；自推进请注明；型号（包括机身号）；上部结构可旋转360度请注明；斗容量；功率；机重（工作能力）；旧机注明生产年份"
8457300000.0,"多工位组合机床","品名；用途；品牌；功能（是否多种机械加工）；工位数；规格型号；是否数控；功率；动力头数量；可加装刀库注明刀库容量及选配件；是否数控；旧机床请注明生产年份"
8470501000.0,"销售点终端出纳机","品名；用途；品牌；型号"
8472901000.0,"自动柜员机","品名；品牌；用途；机型；型号；是穿墙式还是大堂式；是否具有存取款两种功能；结构配置（是否带有售货；售票等装置）"
8474209000.0,"其他固体矿物质的破碎或磨粉机器","品名；用途；品牌；原理；型号"
8477101000.0,"注塑机","品名；用途；品牌；型号；功能；原理；是否数控；功率；立式或卧式；工作能力（合模力）"
8479892000.0,"空气增湿器及减湿器","品名；用途；品牌；型号；功能；原理；台/KG（小于20KG/台归85098090）"
8479896200.0,"贴片机","品名；用途；品牌；型号；功能；原理；是否数控；功率；注明是否带送料器；贴片头；精度；模组需注明由几个模组组成及具体型号；旧设备注明生产年限及新旧程度；带送料器分开申报；报贴片头数量"
8481801000.0,"其他阀门","品名；用途；品牌；型号；结构特征（蝶形；旋塞形）；公称通径；工作原理"
8482300000.0,"鼓形滚子轴承","品名；用途；品牌；型号；类型；结构"
8482500001.0,"风力发电设备用圆柱形滚子轴承","品名；用途（是否专用于风力发电设备）；品牌；型号；类型；结构"
8482500090.0,"其他圆柱形滚子轴承","品名；用途；品牌；型号；类型；结构"
8532211000.0,"片式钽电容器","品名；品牌；结构类型(单层;多层等)；电介质类型；型号；电容量；耐压"
8532221000.0,"铝(固定)电介电容器","品名；品牌；结构类型(单层;多层等)；电介质类型；型号；电容量；耐压"
8532230000.0,"瓷介电容器","品名；品牌；结构类型(单层;多层等)；电介质类型；型号；电容量；耐压"
8532241000.0,"片式多层瓷介电容器","品名；品牌；结构类型(单层;多层等)；电介质类型；型号；电容量；耐压"
8541100000.0,"二极管，但光敏二极管或发光二极管除外","品名；品牌；型号；用途；结构（是否由单个半导体元件构成）"
8541210000.0,"耗散功率小于1瓦的晶体管","品名；品牌；型号；耗散功率；类型；结构（是否由单个半导体元件构成）"
8541290000.0,"耗散功率≥1W的晶体管","品名；品牌；型号；耗散功率；类型；结构（是否由单个或多个半导体元件构成）"
8541401000.0,"光敏半导体器件；发光二极管","品名；品牌；型号；耗散功率；类型；结构（是否由单个或多个半导体元件构成）；是否带电路保护装置"
8541600000.0,"晶体振荡器","品名；品牌；型号；已装配请注明；结构（是否由单个半导体元件组成）；频率范围"
8541900000.0,"8541所列货品的零件","品名；用途（适用机型）；原片请注明；材质；是否已切割"
8542310000.0,"用作处理器及控制器的集成电路","非CPU产品申报：品名；用途；功能；品牌；型号；是否加密，CPU产品的申报: 品名；品牌；功能；型号；用途（台式机还是笔记本电脑用）；外频；前端总线(FSB)；如有可能，还需申报：电压\倍频系数\缓存\采用的微米技术等级\是否多核心等要素"
8542320000.0,"用作存储器的集成电路","品名；用途；功能；品牌；型号；容量；是否加密"
8542330000.0,"用作放大器的集成电路","品名；用途；功能；品牌；型号；是否加密；放大类型（功率放大或信号放大）"
8542390000.0,"其他集成电路","品名；用途；功能；品牌；型号；是否加密"
8542900000.0,"集成电路零件","品名；用途；功能；品牌；型号；是否加密；如申报品名为圆片则需注明可切割多少粒"
8607990000.0,"铁道及电车道非机车用其他零件","品名；用途（适用车型）"
8701200000.0,"半挂车用的公路牵引车","品名；用途；品牌；型号；车型"
8703236201.0,"2.5＜排量≤3升装点燃往复式活塞内燃发动机越野车","品名；厂牌（如与签注名称相同可省略）；签注名称；发动机类型（柴油；半柴油；汽油等）；成套散件需注明；排气量（毫升）；规格型号；座位数；旧车需注明年款"
8703242101.0,"排气量＞4升的装有点燃往复式活塞内燃发动机小轿车","品名；厂牌（如与签注名称相同可省略）；签注名称；发动机类型（柴油；半柴油；汽油等）；成套散件需注明；排气量（毫升）；规格型号；座位数；旧车需注明年款"
8704230001.0,"固井水泥车、压裂车、混砂车底盘","品名；用途；品牌（厂牌）；发动机类型（柴油；半柴油；汽油等）；型号；车辆总重；车辆总重量在13吨及以上需注明车架前宽"
8704230003.0,"功率≥390马力的装有驾驶室的混凝土泵车用底盘","品名；用途；品牌（厂牌）；发动机类型（柴油；半柴油；汽油等）；型号；车辆总重；车辆总重量在14吨及以上需注明车架前宽"
8704230090.0,"柴油型的其他超重型货车","品名；用途；品牌（厂牌）；发动机类型（柴油；半柴油；汽油等）；型号；车辆总重；车辆总重量在14吨及以上需注明车架前宽"
8708999990.0,"机动车辆用未列名零件.附件","品名；品牌；适用车型；型号；成套散件或毛坯请注明；零部件完整编号并在前加注“S”；通用零件编号前加注“TY”；成套散件装配后完整品的零部件的编号；维修件编号前加注“W”；与整车厂牌不一致编号前加注“WF”；应申报正厂件或副厂件"
8802401000.0,"45000≥空载重量＞15000公斤的飞机等航空器","品名；品牌；用途；类型；型号；空载重量"
8802401001.0,"25吨≤空载重量≤45吨客运飞机","品名；品牌；用途；类型；型号；空载重量"
8802401090.0,"15吨<空载重量<=45吨其他大型飞机及其他航空器","品名；品牌；用途；类型；型号；空载重量"
8802402000.0,"特大型飞机及其他航空器","品名；品牌；用途；类型；型号；空载重量"
8443311000.0,"具有印刷（打印）、复印或传真中两种及以上功能，可与自动数据处理设备或网络连接的静电感光式机器","品名；品牌；原理；功能；型号；注明“是否加密”"
8443321100.0,"专用于税目8471所列设备的针式打印机","品名；用途（是否专用于税目84.71所列设备）；品牌；打印原理；型号；打印幅宽；打印速度"
8443321200.0,"专用于税目8471所列设备的激光打印机","品名；用途（是否专用于税目84.71所列设备）；品牌；打印原理；型号；打印幅宽；打印速度"
8443992900.0,"针式打印机打印头","品名；用途；品牌；用于何种打印机；型号"
8443999000.0,"其他印刷(打印)机、复印机及传真机的零件","品名；用途；规格型号；具体功能；用于何种设备"
8471300000.0,"便携式数字自动数据处理设备","品名：品牌：机型：型号：配置（系统组成部件）；重量"
8471419000.0,"未列名数字式自动数据处理设备","品名；品牌；机型；型号；配置(系统组成部件)；功能"
8471492000.0,"以系统形式报验的小型计算机","品名；品牌；机型；型号；配置(系统组成部件)；功能"
8471494000.0,"以系统形式报验的微型机","品名；品牌；机型；型号；配置(系统组成部件)；功能"
8471499100.0,"系统形式的分散型工业过程控制设备","品名；品牌；机型；型号；配置(系统组成部件)；功能;用途"
8471502000.0,"小型机的数字式中央处理部件","品名；品牌；机型；型号；配置(系统组成部件)；功能;"
8471504000.0,"微型机的数字式处理部件","品名；品牌；机型；型号；配置(系统组成部件)；功能"
8471607100.0,"键盘","品名；品牌；机型；型号；连接方式(有线；无线)；配置"
8471607200.0,"鼠标器","品名；品牌；机型；型号；连接方式(有线；无线)；配置"
8471701000.0,"计算机硬盘驱动器","品名；品牌；机型；型号；容量"
8471703010.0,"具有刻录功能的光盘驱动器","品名；品牌；机型；型号；是否可刻录"
8471703090.0,"其他光盘驱动器","品名；品牌；机型；型号；是否可刻录"
8471709000.0,"自动数据处理设备的其他存储部件","品名；品牌；机型；型号；配置；存储方式"
8471800000.0,"自动数据处理设备的其他部件","品名；品牌；机型；型号；配置；功能；用途；连接方式"
8473301000.0,"大、中、小型计算机的零件","品名；品牌；规格型号；用途（适用机型）；功能"
8473309000.0,"编号8471所列计算机的其他零附件","品名；品牌；规格型号；用途（适用机型）；功能"
8473409090.0,"其他办公室用机器零附件","品名；品牌；规格型号；用途（适用机型）；外观结构；具体功能"
8501109990.0,"其他微电机","品名；用途；品牌；规格型号；输出功率；额定功率；机座尺寸"
